OTU	FE01_NS_bactV4V5_Reference_none	FE01_PW_bactV4V5_Reference_none	FE02_NS_bactV4V5_Reference_none	FE02_PW_bactV4V5_Reference_none	FE03_NS_bactV4V5_Reference_none	FE03_PW_bactV4V5_Reference_none	FE04_NS_bactV4V5_Reference_none	FE04_PW_bactV4V5_Reference_none	FE05_NS_bactV4V5_Reference_none	FE05_PW_bactV4V5_Reference_none	FE06_NS_bactV4V5_Mercury_Chloride_10_weeks	FE06_PW_bactV4V5_Mercury_Chloride_10_weeks	FE07_NS_bactV4V5_Mercury_Chloride_10_weeks	FE07_PW_bactV4V5_Mercury_Chloride_10_weeks	FE08_NS_bactV4V5_Mercury_Chloride_10_weeks	FE08_PW_bactV4V5_Mercury_Chloride_10_weeks	FE09_NS_bactV4V5_Mercury_Chloride_10_weeks	FE09_PW_bactV4V5_Mercury_Chloride_10_weeks	FE10_NS_bactV4V5_Mercury_Chloride_10_weeks	FE10_PW_bactV4V5_Mercury_Chloride_10_weeks	FE12_NS_bactV4V5_Formalin_10_weeks	FE12_PW_bactV4V5_Formalin_10_weeks	FE14_NS_bactV4V5_Formalin_10_weeks	FE14_PW_bactV4V5_Formalin_10_weeks	FE15_NS_bactV4V5_Formalin_10_weeks	FE15_PW_bactV4V5_Formalin_10_weeks	FE31_NS_bactV4V5_Mercury_Chloride_28_weeks	FE31_PW_bactV4V5_Mercury_Chloride_28_weeks	FE32_NS_bactV4V5_Mercury_Chloride_28_weeks	FE32_PW_bactV4V5_Mercury_Chloride_28_weeks	FE33_NS_bactV4V5_Mercury_Chloride_28_weeks	FE33_PW_bactV4V5_Mercury_Chloride_28_weeks	FE34_NS_bactV4V5_Mercury_Chloride_28_weeks	FE34_PW_bactV4V5_Mercury_Chloride_28_weeks	FE35_NS_bactV4V5_Mercury_Chloride_28_weeks	FE35_PW_bactV4V5_Mercury_Chloride_28_weeks	FE36_NS_bactV4V5_Formalin_28_weeks	FE37_NS_bactV4V5_Formalin_28_weeks	FE38_NS_bactV4V5_Formalin_28_weeks	FE39_NS_bactV4V5_Formalin_28_weeks	FE40_NS_bactV4V5_Formalin_28_weeks	FE56_PW_bactV4V5_Mercury_Chloride_50_weeks	FE57_PW_bactV4V5_Mercury_Chloride_50_weeks	FE58_NS_bactV4V5_Mercury_Chloride_50_weeks	FE58_PW_bactV4V5_Mercury_Chloride_50_weeks	FE59_PW_bactV4V5_Mercury_Chloride_50_weeks	FE60_NS_bactV4V5_Mercury_Chloride_50_weeks	FE60_PW_bactV4V5_Mercury_Chloride_50_weeks	FE61_PW_bactV4V5_Formalin_50_weeks	FE62_PW_bactV4V5_Formalin_50_weeks	FE63_NS_bactV4V5_Formalin_50_weeks
OTU_1	572	492	1565	1521	1347	555	753	672	2127	1753	551	346	849	344	494	281	482	161	524	484	477	7255	309	2648	228	361	206	406	543	180	556	1452	955	604	329	240	829	295	926	544	1380	453	947	101	611	591	730	1554	141	102	146
OTU_2	9	8	13	9	7	6	4	3	13	6	11	8	9	7	8	3	2	6	1	5	3	2	4	1	2	0	17	4	0	1	11	13	6	5	2	4	0	2	6	6	14	2	10	0	7	11	4	12	0	0	0
OTU_4	403	401	3151	2049	2899	810	1759	983	2655	1483	5593	3482	5891	2539	3088	2204	3541	610	4327	5183	1730	20	1079	27	1109	22	960	2272	2658	748	2778	6443	3391	2970	1968	1571	3479	1391	3392	2137	6786	2669	5040	1046	3526	2745	4657	8990	2129	682	910
OTU_3	4598	3137	13859	7947	10632	2850	5641	5041	9003	4755	34	64	81	52	64	51	74	46	61	176	71	10	70	21	38	73	34	51	56	31	46	190	84	65	15	21	50	40	88	68	390	58	98	3	74	63	73	129	38	1	33
OTU_5	97	26	56	60	92	28	42	97	63	36	36	64	84	45	47	49	40	19	35	53	53	393	68	157	30	115	1	47	20	24	32	215	52	78	22	19	66	20	74	80	385	56	101	8	61	53	66	142	19	0	12
OTU_6	11	22	59	44	34	11	29	14	42	37	5	0	10	4	3	3	3	1	3	8	7	2186	3	337	6	41	0	4	5	3	7	12	7	7	0	0	7	7	20	8	9	0	2	0	8	8	3	14	1	0	2
OTU_7	2421	546	1281	1436	1343	474	471	619	1153	911	85	146	217	126	116	108	83	29	70	146	225	108	161	371	92	142	11	153	62	69	116	544	211	169	58	55	244	65	237	115	363	133	202	17	151	112	218	257	80	42	27
OTU_8	0	0	1	1	3	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	7	443	1	0	1	48	1	0	10	0	1	1	0	0	1	0	21	1	8	0	0	1	0	0	0	1	0	0	1	0	0
OTU_9	166	234	1005	592	1016	310	637	452	696	449	1605	1100	2646	867	1319	738	1036	163	1560	1317	975	234	581	297	601	211	523	966	1388	421	1472	3560	2320	1467	793	594	1120	577	1304	833	2668	1030	2319	472	1891	1444	2899	4133	304	241	304
OTU_10	159	324	722	703	689	285	468	477	729	511	1184	1032	2083	796	1165	583	837	142	1095	1352	677	0	508	107	393	75	195	964	566	320	888	3580	2083	1321	503	524	858	383	917	759	2226	880	2005	250	1627	1418	1408	3469	243	212	138
OTU_11	11	7	10	31	8	7	8	10	13	19	7	9	19	11	12	7	9	0	3	7	0	0	11	0	7	0	2	11	10	5	6	58	15	9	7	7	3	7	13	8	13	9	18	1	19	10	1	10	80	0	1
OTU_12	121	114	1043	678	929	295	599	340	924	521	2009	1201	2078	871	1082	781	1197	197	1483	1754	617	21	365	1	460	113	372	665	829	206	826	1802	964	854	527	444	1228	567	1189	817	2341	652	1155	244	920	786	1201	2485	756	241	254
OTU_13	344	230	638	900	770	351	366	416	1048	991	103	106	210	100	155	82	86	17	127	115	67	0	76	40	57	16	20	67	70	22	104	350	196	95	38	41	157	59	175	116	333	61	136	11	124	83	121	253	16	35	27
OTU_14	0	2	0	3	2	1	1	2	0	2	1	0	0	2	0	0	0	0	2	1	0	1	1	0	1	0	0	1	0	0	1	1	3	0	0	1	0	0	2	0	1	0	3	0	1	0	0	2	0	0	0
OTU_15	522	799	2542	1616	2154	588	1118	1006	1551	873	740	383	1154	361	796	260	493	68	758	513	329	140	266	53	294	77	130	348	605	209	644	2188	1001	610	289	225	612	345	632	469	1337	208	422	75	557	589	561	1442	337	124	73
OTU_17	130	258	1115	521	860	269	439	307	653	412	839	481	992	321	625	356	578	89	737	563	702	634	263	232	319	40	225	517	582	157	197	362	1057	707	423	338	1007	444	1004	925	2046	536	1214	277	861	769	1304	1794	238	150	186
OTU_19	12	3	5	10	1	8	2	9	0	15	8	64	14	18	22	16	1	10	18	13	4	5	24	0	14	0	1	21	3	5	7	40	4	14	0	1	0	7	20	22	24	32	19	4	13	7	16	27	10	0	2
OTU_20	151	347	1429	885	1048	326	490	488	983	676	460	481	1066	398	486	310	320	86	429	592	183	0	103	0	91	0	109	506	248	194	362	1911	1063	738	398	279	379	104	372	172	458	485	1111	120	818	696	630	1894	54	16	59
OTU_21	37	13	16	43	28	13	18	21	17	28	20	23	21	16	19	10	7	3	8	25	12	0	12	0	7	0	1	9	4	4	5	58	26	21	12	12	42	1	31	16	51	17	30	0	27	19	15	46	0	13	0
OTU_18	1444	234	654	585	571	218	247	292	446	348	449	331	692	266	486	217	497	48	402	301	827	97	654	391	348	188	108	295	331	133	486	1200	637	420	244	227	644	410	723	918	3828	293	664	215	422	373	877	1032	316	333	281
OTU_23	89	39	99	93	56	14	26	56	94	98	3	2	8	4	7	0	5	1	17	6	8	143	2	2	2	7	9	0	0	1	10	4	3	9	1	4	10	6	13	14	34	2	4	0	5	1	4	6	63	0	1
OTU_16	737	198	857	658	602	261	265	369	477	465	146	167	215	80	201	78	141	44	110	218	325	144	256	120	109	126	11	111	125	50	173	441	158	186	108	63	395	152	311	213	954	100	205	35	120	104	172	259	340	103	75
OTU_24	31	8	318	222	282	98	156	114	249	161	430	331	721	264	371	249	302	23	457	387	185	22	108	0	152	8	182	259	394	130	452	1083	628	447	216	202	466	207	347	280	728	318	694	83	488	446	715	1171	150	17	62
OTU_25	296	131	450	373	376	154	243	214	233	187	273	289	624	241	225	222	178	48	301	419	255	156	198	39	164	0	85	261	230	150	143	1158	305	335	101	170	599	188	456	397	876	321	691	67	447	353	429	950	15	30	86
OTU_26	0	0	0	2	1	0	0	0	0	2	1	2	2	0	1	2	2	0	0	0	0	0	3	0	1	0	0	0	0	0	5	3	0	2	12	1	0	0	3	0	4	1	5	0	0	3	0	8	0	0	0
OTU_28	73	136	527	275	333	132	198	196	244	132	275	71	327	110	235	50	265	16	431	149	115	3200	105	2821	62	293	47	95	49	30	59	266	42	111	96	49	179	31	201	143	237	129	97	5	94	69	34	117	86	25	37
OTU_29	507	291	2412	1405	2213	549	1118	1067	1795	840	2	2	4	0	0	1	2	2	10	0	9	46	8	0	4	0	3	1	2	0	0	6	4	3	1	1	13	7	16	13	80	0	5	0	2	0	6	3	0	12	0
OTU_30	14	4	31	27	20	4	11	11	24	29	14	13	14	8	9	6	9	1	6	10	21	12	9	0	2	1	12	9	6	1	8	29	13	9	0	2	9	11	36	10	42	6	17	0	10	13	20	22	0	0	1
OTU_33	190	135	470	406	381	134	213	265	254	184	168	141	349	119	247	116	194	36	163	156	153	371	123	111	90	4	48	172	174	72	166	688	311	232	81	112	355	100	371	230	633	142	299	54	293	237	266	561	207	123	40
OTU_32	549	454	1760	1210	1717	554	1061	1130	1200	691	5	12	20	13	19	7	12	1	27	13	47	70	24	24	29	0	1	16	4	10	5	42	13	13	2	4	47	46	38	54	148	7	17	16	9	21	10	28	37	0	7
OTU_34	66	90	134	279	48	140	64	170	122	223	180	194	97	152	161	182	175	49	111	236	243	915	191	237	84	7	26	153	171	83	187	647	126	234	171	118	357	164	394	348	1160	212	337	17	216	195	53	498	89	255	44
OTU_22	53	19	232	146	200	61	110	81	164	82	520	349	796	306	438	244	406	60	443	386	340	174	268	74	214	38	153	322	460	121	561	1268	764	561	344	218	719	306	697	534	1517	415	928	232	636	500	709	1319	73	23	171
OTU_38	6	2	0	2	0	5	0	3	0	8	1	8	13	1	3	3	2	0	0	13	2	210	1	86	0	11	9	5	0	2	2	21	3	7	1	3	11	0	6	5	8	7	10	11	2	5	0	5	111	0	0
OTU_27	34	46	144	100	113	40	111	69	119	85	412	269	709	212	377	169	347	39	434	271	254	172	196	29	127	89	90	278	285	131	272	983	597	370	278	152	351	172	436	170	584	298	785	167	447	360	569	1004	49	154	96
OTU_39	111	126	326	299	288	117	154	193	317	304	211	154	352	111	195	99	148	33	211	161	106	0	112	0	78	0	57	164	207	77	241	613	300	213	146	97	161	102	209	115	398	166	323	61	260	233	314	574	59	0	91
OTU_31	83	55	110	201	63	84	94	140	124	131	85	63	66	76	68	65	76	17	55	70	94	4168	77	1109	59	666	7	55	92	23	72	192	45	71	51	36	427	156	361	380	939	95	127	13	77	41	19	126	256	340	96
OTU_40	0	2	9	3	7	0	4	2	4	3	3	7	9	2	1	2	3	0	0	1	10	0	6	0	2	0	0	5	0	0	4	12	4	1	0	2	3	0	10	0	12	2	3	0	5	1	0	6	0	0	3
OTU_41	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_43	273	310	418	871	417	341	187	523	307	677	49	144	93	75	72	75	70	30	52	89	102	0	129	27	83	0	16	83	39	43	70	319	68	128	61	47	146	72	156	148	407	75	135	0	65	74	50	159	39	101	26
OTU_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
OTU_47	0	11	4	19	2	12	4	18	2	19	9	43	19	25	23	38	26	83	12	38	27	0	15	43	25	0	3	15	15	9	12	104	13	29	1	7	1	9	9	10	101	33	34	0	5	4	9	32	0	30	0
OTU_44	47	54	139	97	94	50	64	75	144	71	212	87	308	104	167	97	162	22	243	138	185	0	93	145	87	50	24	104	205	49	222	548	284	211	87	86	232	109	256	218	544	151	350	41	245	183	329	558	204	21	94
OTU_51	118	323	600	763	647	342	436	573	607	542	63	62	139	57	64	33	65	9	79	70	63	0	17	0	25	0	19	51	59	44	79	215	121	73	46	30	47	18	72	42	112	59	101	16	80	61	146	196	26	13	5
OTU_42	26	38	148	104	153	45	103	65	132	91	343	186	361	139	184	121	251	22	322	258	93	0	58	0	64	0	91	134	261	60	259	497	173	208	267	96	208	79	135	83	342	185	364	94	272	189	379	607	29	18	38
OTU_50	98	128	305	289	233	89	136	145	282	218	165	118	284	95	194	101	132	18	127	157	106	44	62	46	54	0	56	128	123	67	147	462	232	172	77	78	155	81	193	114	294	101	233	36	170	155	263	405	9	54	19
OTU_49	41	17	51	80	14	22	17	35	177	140	81	130	197	92	82	109	59	21	81	132	136	262	128	19	74	159	42	106	89	60	91	523	123	152	31	72	229	79	233	142	598	78	186	5	139	85	110	285	39	41	84
OTU_48	173	42	166	157	147	75	66	89	89	70	192	150	223	96	162	106	140	26	92	149	222	0	76	0	47	0	42	132	117	56	213	574	278	243	82	75	159	117	112	140	557	144	313	79	224	152	478	482	38	48	81
OTU_36	43	33	81	71	79	31	36	35	95	81	67	34	104	40	75	32	68	18	44	83	55	721	37	548	39	142	28	47	63	13	66	172	145	81	41	26	123	28	114	97	205	53	169	8	68	87	97	202	0	0	16
OTU_52	322	138	468	484	562	194	195	178	487	422	100	84	196	64	96	51	76	10	101	93	89	10	33	0	44	0	4	72	71	35	118	355	174	123	20	45	87	51	166	107	245	75	210	11	146	98	126	276	122	9	17
OTU_53	11	1	2	5	3	0	0	0	0	1	7	2	0	4	4	1	9	9	15	6	40	920	10	1291	2	1539	38	2	52	1	12	10	6	4	46	0	18	21	4	6	21	9	100	28	11	4	266	15	1794	488	22
OTU_35	27	6	28	40	24	9	4	11	24	17	9	6	20	2	6	5	21	14	5	30	15	102	6	7	11	0	0	5	3	3	6	12	7	14	2	0	1	1	7	8	15	2	4	0	5	10	40	14	0	0	0
OTU_56	39	88	146	211	158	63	88	118	166	167	7	6	5	5	6	2	2	3	3	10	74	744	28	108	20	127	14	7	7	0	12	23	14	15	12	1	60	34	40	16	29	4	12	0	6	6	3	6	32	3	25
OTU_55	16	5	32	21	11	10	9	17	11	17	121	56	180	46	122	25	109	9	121	28	129	0	54	0	69	0	43	38	229	29	263	252	324	91	354	40	264	81	327	165	470	76	120	38	75	61	298	153	507	431	127
OTU_60	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_37	19	48	224	143	195	54	137	72	169	88	529	317	591	219	308	201	289	47	459	487	154	0	89	6	106	0	35	151	119	49	164	470	225	208	154	124	248	99	210	171	483	122	259	52	269	241	255	649	160	21	44
OTU_58	9	0	5	6	2	1	1	2	2	5	1	8	1	5	1	2	0	0	0	2	2	54	11	4	4	8	0	2	2	0	0	11	1	4	0	8	7	6	25	12	38	2	16	0	5	3	0	12	0	0	0
OTU_54	24	6	7	53	4	10	3	19	4	33	20	53	39	42	83	177	165	423	19	631	70	2	125	0	79	1	3	25	15	16	9	122	15	85	0	4	6	8	9	34	113	66	30	31	21	7	14	81	0	269	12
OTU_62	219	232	385	712	428	272	191	529	255	433	36	59	54	34	31	30	30	8	31	36	93	0	44	99	54	0	3	40	19	26	55	165	55	47	7	9	89	26	116	41	153	18	65	5	45	29	22	67	20	2	16
OTU_61	27	23	113	53	97	22	49	34	86	49	172	75	259	71	160	73	119	20	143	115	112	496	40	513	48	164	11	50	92	22	118	213	134	79	54	26	175	48	167	70	377	38	103	27	78	92	128	208	13	4	45
OTU_64	572	224	513	814	465	295	196	343	525	573	22	17	30	14	17	5	10	5	14	17	19	49	20	21	22	17	9	11	21	2	8	41	21	14	26	5	46	12	42	35	50	11	26	0	7	8	25	19	5	3	9
OTU_66	47	25	20	64	20	25	10	53	16	48	120	118	277	84	149	94	86	15	46	102	36	0	66	0	38	1	28	89	37	52	100	484	194	153	53	68	62	20	125	84	330	135	213	59	169	129	200	363	0	0	9
OTU_59	0	0	0	1	1	0	1	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_57	32	29	172	102	157	54	76	49	142	69	280	155	351	164	173	101	166	31	237	247	152	0	53	55	77	0	32	53	55	24	88	165	65	84	87	53	253	90	230	154	404	61	149	11	116	110	121	370	185	95	41
OTU_67	47	37	65	61	59	35	29	41	60	64	0	0	0	0	0	0	0	0	2	4	10	2002	29	1441	8	234	0	1	7	0	0	4	0	3	0	0	28	14	16	7	55	0	0	0	0	0	0	0	0	5	11
OTU_45	313	72	142	399	133	159	61	170	93	175	115	253	261	165	202	167	106	36	126	226	97	0	131	61	80	0	28	165	55	99	109	598	198	222	114	66	138	85	160	189	596	99	238	29	130	94	148	364	85	76	25
OTU_68	249	61	485	334	263	92	136	205	472	282	32	77	41	36	46	82	28	15	12	188	71	0	54	0	27	0	6	42	20	26	16	215	26	48	0	22	52	24	13	27	146	31	67	3	32	30	31	93	0	2	10
OTU_70	58	35	52	172	44	56	19	91	42	137	39	117	111	80	76	77	31	3	82	103	64	71	71	0	39	0	4	87	22	43	43	264	105	88	29	51	100	18	45	55	241	71	126	4	87	89	131	184	0	25	3
OTU_69	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_71	23	6	22	24	20	4	16	15	35	24	7	5	4	5	2	0	0	2	2	6	0	0	3	22	6	0	0	5	6	2	4	15	5	15	0	2	0	0	7	4	18	9	11	3	4	6	8	15	0	0	2
OTU_63	91	15	42	113	43	31	27	49	38	90	49	117	152	61	81	99	30	43	39	170	84	77	130	0	40	0	19	144	50	42	42	443	119	178	42	119	123	64	193	82	787	43	157	72	112	53	153	386	22	59	30
OTU_76	16	1	33	26	39	21	28	19	49	15	100	66	165	58	90	53	54	15	91	77	26	0	39	24	37	0	28	62	54	26	71	242	163	104	78	57	101	41	85	70	226	89	158	23	126	106	180	262	0	19	11
OTU_74	255	134	490	354	280	100	126	93	360	214	2	2	6	1	0	2	1	0	0	5	9	122	4	0	9	0	0	3	0	0	2	14	1	4	9	3	0	0	1	0	10	1	7	0	3	1	2	1	0	0	0
OTU_73	2	1	0	8	0	0	0	2	0	2	0	3	0	3	0	2	0	1	0	0	10	0	1	0	4	0	2	2	0	0	2	1	0	1	0	1	0	2	1	7	7	0	1	0	6	0	0	2	4	0	3
OTU_75	131	70	134	271	187	97	92	156	130	140	37	62	104	42	47	35	37	9	56	50	80	0	75	0	48	0	13	43	38	16	70	149	49	41	23	16	108	34	86	89	173	42	65	0	61	55	92	140	95	0	30
OTU_72	384	48	178	173	121	80	58	108	101	86	20	40	26	19	22	10	35	7	15	68	28	83	70	15	31	12	0	16	15	8	25	109	14	18	23	12	98	7	39	56	289	11	18	3	21	17	39	30	33	43	23
OTU_78	16	19	63	58	49	20	35	44	68	43	106	62	138	51	75	32	47	9	67	86	58	0	24	0	11	0	13	66	115	33	86	283	212	115	122	50	62	25	64	29	143	61	189	21	117	92	97	218	0	0	7
OTU_79	7	13	41	30	14	5	8	15	39	19	113	24	49	49	4	63	150	21	133	101	45	281	33	294	22	12	29	64	189	30	84	211	52	47	110	25	73	84	23	50	0	90	127	84	77	34	154	108	0	0	23
OTU_83	51	18	14	72	15	24	6	31	23	54	57	95	84	38	76	82	53	11	47	103	45	0	51	41	22	0	9	62	40	27	26	322	60	85	34	29	66	34	48	50	214	53	63	6	56	53	120	173	206	38	11
OTU_81	4	26	74	48	63	14	30	34	64	36	66	77	134	62	99	28	61	9	55	90	48	0	39	0	16	0	26	73	37	22	56	297	141	88	46	43	53	28	72	31	149	69	157	5	115	101	77	291	36	15	1
OTU_65	102	33	77	85	28	33	25	82	44	58	80	152	208	80	109	107	74	22	100	168	54	0	92	0	53	0	15	110	50	58	87	444	123	169	39	52	166	51	123	133	341	87	275	32	139	132	108	314	31	29	27
OTU_82	208	126	545	318	424	132	156	175	351	213	5	8	13	4	4	8	4	14	6	10	34	26	9	0	8	0	0	8	8	2	11	33	18	15	0	5	53	14	38	22	44	6	13	0	16	10	20	23	0	11	0
OTU_84	21	15	45	20	59	15	35	32	36	7	34	20	63	30	62	34	49	8	47	33	94	251	64	50	42	149	0	24	14	14	42	131	71	34	22	16	144	67	167	90	299	33	61	10	56	39	90	86	156	79	44
OTU_77	11	20	110	60	86	14	46	35	70	41	131	73	183	76	110	68	86	24	114	125	14	0	12	0	19	0	24	67	92	13	78	146	86	69	47	35	62	17	71	50	101	50	89	23	100	74	95	262	195	152	12
OTU_85	165	77	359	205	226	65	112	87	267	160	36	12	23	11	19	6	13	2	17	13	39	266	61	129	19	0	10	12	11	7	20	46	40	29	0	4	50	19	40	56	159	19	24	5	25	18	18	37	16	0	18
OTU_88	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_90	3	20	86	79	99	44	56	62	93	39	75	35	88	32	41	28	75	5	97	41	36	86	49	2	36	0	12	36	63	18	108	158	94	49	161	31	85	20	43	42	110	33	84	26	65	60	97	130	0	0	5
OTU_92	70	24	146	137	66	33	36	61	621	388	25	30	38	11	33	18	25	4	40	16	14	82	12	235	10	4	0	28	12	11	17	70	41	40	16	12	10	6	25	11	100	34	38	0	31	28	35	74	0	0	0
OTU_93	1	17	11	84	7	18	10	9	20	53	18	20	1	12	0	22	13	7	33	38	10	986	9	542	12	331	0	20	16	12	15	80	4	31	22	14	17	12	4	10	0	62	54	1	39	31	12	58	0	0	10
OTU_91	4	9	43	27	35	10	9	7	345	228	14	10	11	4	2	2	5	1	9	10	13	662	2	106	2	0	1	6	3	1	4	16	6	6	4	6	7	5	5	1	16	7	5	0	4	7	7	20	0	0	0
OTU_95	13	10	18	16	39	20	12	24	20	27	7	12	8	8	2	4	7	0	3	7	16	0	7	1	1	0	0	3	0	4	1	17	8	9	1	4	0	8	9	8	30	8	12	0	7	14	4	14	227	175	49
OTU_96	16	29	58	33	46	18	30	42	34	20	73	28	93	28	62	23	75	7	95	33	43	0	57	0	55	49	21	30	87	20	72	166	102	60	63	21	80	49	148	70	214	65	103	21	71	55	55	130	3	1	15
OTU_89	71	15	44	86	54	48	19	50	34	47	31	45	96	39	82	38	25	10	36	55	88	0	62	0	35	0	5	57	39	25	52	225	77	70	50	21	106	66	69	73	239	49	75	17	80	61	66	192	0	0	26
OTU_98	61	92	241	449	364	168	176	329	192	261	13	9	10	7	8	2	19	0	3	6	15	0	7	81	13	0	0	0	0	0	8	24	9	10	1	5	8	9	18	8	62	6	8	0	4	5	12	11	0	35	0
OTU_101	24	7	17	14	8	5	8	9	21	9	62	46	85	45	73	49	57	13	31	69	16	46	41	0	32	0	41	62	30	26	65	281	139	72	8	40	70	54	77	43	95	73	124	39	119	76	130	209	0	4	20
OTU_100	23	7	12	52	12	16	12	24	8	30	40	105	142	48	78	58	62	13	36	68	42	0	52	0	20	0	19	58	25	26	30	228	77	77	15	43	43	21	63	47	138	25	91	5	58	48	67	181	106	43	24
OTU_102	21	16	30	16	71	15	44	34	23	13	49	39	117	43	52	31	59	8	64	26	30	103	9	21	26	0	30	27	86	27	37	134	102	46	24	19	91	62	114	83	238	46	89	10	76	36	96	148	38	0	4
OTU_80	23	3	8	13	4	9	2	12	5	13	6	33	18	16	23	27	23	1	2	22	15	0	22	0	9	0	0	20	9	9	4	57	4	23	0	6	24	10	24	8	56	9	32	0	20	12	49	52	7	27	3
OTU_86	49	20	185	63	123	31	87	68	153	70	36	15	59	17	55	19	21	2	50	31	71	108	28	73	28	165	36	29	47	10	52	95	47	54	45	15	116	45	88	83	177	62	46	14	39	39	83	72	1	23	27
OTU_105	3	15	55	23	25	7	20	13	39	21	61	38	105	46	56	27	58	9	71	48	7	0	15	0	26	0	28	47	68	22	49	195	129	90	15	32	56	26	36	42	130	58	136	9	79	61	125	202	48	44	14
OTU_87	29	8	15	45	10	16	7	37	12	38	26	97	43	46	45	244	86	88	20	592	97	10	138	0	82	0	4	39	14	10	21	87	33	62	1	19	47	25	17	25	128	50	54	13	22	27	78	84	0	0	3
OTU_94	29	4	6	56	16	25	10	29	15	51	30	99	91	51	41	82	56	14	27	92	45	0	57	0	23	0	15	72	33	42	49	209	46	91	48	31	48	24	80	50	296	32	68	10	50	33	108	116	9	26	29
OTU_104	23	40	136	76	121	34	47	50	166	111	48	38	78	37	31	26	30	10	46	35	11	0	29	0	26	0	9	34	37	21	52	162	74	43	48	15	41	18	90	54	122	31	73	17	66	40	56	103	60	0	9
OTU_97	10	6	10	12	11	7	2	4	8	11	6	10	32	9	12	6	14	8	17	35	2	73	4	106	3	0	0	8	9	11	9	30	20	14	12	11	8	5	4	16	45	18	27	1	17	15	32	36	0	2	0
OTU_106	76	15	44	52	34	28	18	41	32	38	34	46	63	22	75	34	42	3	59	32	11	0	26	0	35	0	1	48	60	19	41	135	52	67	13	16	44	39	66	64	325	38	76	0	49	43	44	124	166	47	34
OTU_107	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0
OTU_108	3	5	64	40	56	15	23	10	40	27	45	15	52	19	45	15	29	5	70	22	107	25	57	3	37	42	6	28	33	4	31	99	81	30	43	18	152	65	159	96	332	31	74	12	59	31	46	69	33	0	45
OTU_109	55	40	99	162	79	87	35	95	80	95	26	57	72	41	30	32	76	6	45	30	14	0	31	0	18	0	2	32	57	16	63	123	38	44	39	14	35	15	64	21	118	35	56	0	30	23	20	74	21	33	1
OTU_111	41	10	18	65	22	23	7	31	18	31	61	67	115	44	71	40	43	9	53	46	38	0	39	0	20	0	12	45	25	26	44	216	91	66	11	22	18	13	64	19	174	43	112	13	62	51	96	150	2	0	18
OTU_113	1	20	7	45	2	18	3	28	8	32	14	113	8	81	25	62	9	13	11	92	2	186	0	40	1	125	0	46	2	29	13	322	6	100	12	35	47	6	28	15	76	30	50	2	28	7	7	45	348	35	19
OTU_118	29	14	21	64	24	19	12	21	19	48	46	43	58	33	60	46	26	9	27	58	40	0	18	0	20	0	8	40	18	20	63	190	69	55	12	21	76	14	63	68	162	40	71	61	61	55	135	116	0	2	8
OTU_115	86	18	16	98	15	35	4	52	10	52	18	73	37	36	28	37	21	5	19	47	11	0	67	0	24	0	10	54	33	17	34	246	27	96	69	27	69	17	36	38	112	35	67	0	41	46	18	135	0	0	42
OTU_117	48	7	18	72	16	25	14	42	9	47	42	68	78	45	50	51	24	19	26	83	56	0	54	0	28	0	1	43	2	27	7	225	34	70	23	32	62	29	45	58	170	30	66	4	65	31	9	127	25	6	9
OTU_119	474	77	190	256	168	77	72	135	118	134	11	12	14	7	10	10	15	0	18	7	14	0	31	0	9	0	0	1	4	3	3	19	9	6	0	2	43	5	25	45	176	2	9	0	2	4	2	5	0	3	12
OTU_116	60	11	50	72	20	22	23	33	19	27	30	63	74	35	70	32	40	13	29	50	42	0	17	5	19	0	2	46	52	18	44	148	77	68	39	22	79	12	60	29	185	42	79	9	53	48	95	123	12	52	10
OTU_110	20	4	6	43	6	21	4	24	1	24	36	98	62	44	50	62	29	11	36	85	25	0	34	0	29	0	4	76	22	31	18	271	59	91	15	28	44	14	38	47	149	28	81	13	48	37	71	172	0	53	10
