OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
42	Eukaryota	Opisthokonta_unclassified	Opisthokonta_unclassified	Opisthokonta_unclassified	Opisthokonta_unclassified	Opisthokonta_unclassified	
44	Eukaryota	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichales_X	Urospora	Urospora_wormskioldii
40	Eukaryota	Cercozoa	Filosa-Imbricatea	Filosa-Imbricatea_X	Novel-clade-2	Novel-clade-2_X	Novel-clade-2_X_sp.
48	Eukaryota	Cercozoa	Cercozoa_X	Cercozoa_XX	Cercozoa_XXX	Cercozoa_XXXX	Cercozoa_XXXX_sp.
47	Eukaryota	Telonemia	Telonemia_X	Telonemia_XX	Telonemia-Group-1	Telonemia-Group-1_X	Telonemia-Group-1_X_sp.
41	Eukaryota	Lobosa	Lobosa_X	Stygamoebida	Vermistella-lineage	Vermistella	
49	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-I	Chrysophyceae_Clade-I_X	Chrysophyceae_Clade-I_X_sp.
52	Eukaryota	Katablepharidophyta	Katablepharidaceae	Katablepharidales	Katablepharidales_X	Katablepharidales_XX	Katablepharidales_XX_sp.
43	Eukaryota	Metazoa	Arthropoda	Chelicerata	Arachnida	Ixodes	Ixodes_ricinus
50	Eukaryota	Apicomplexa	Apicomplexa_X	Gregarines	Gregarines_X	Gregarines_X_unclassified	
55	Eukaryota	Katablepharidophyta	Katablepharidaceae	Katablepharidales	Katablepharidales_X	Katablepharidales_XX	Katablepharidales_XX_sp.
51	Eukaryota	Stramenopiles_X	Pirsonia_Clade	Pirsonia_Clade_X	Pirsonia_Clade_XX	Pirsonia_Clade__XXX	Pirsonia_Clade__XXX_sp.
57	Eukaryota	Mesomycetozoa	Ichthyosporea	Ichthyosphonida	Abeoformidae_Group_MAIP_2	Abeoformidae_Group_MAIP_2_X	Abeoformidae_Group_MAIP_2_X_sp.
53	Eukaryota	Lobosa	Lobosa_X	Stygamoebida	Vermistella-lineage	Vermistella	
59	Eukaryota	Cercozoa	Cercozoa_unclassified	Cercozoa_unclassified	Cercozoa_unclassified	Cercozoa_unclassified	
63	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_minima
