sample_title	internal_id	type	treatment	time	extraction	DNA_ng_µL
28w_PW_euk_HgCl_rep1	FE31_PW_eukV4V5_Mercury_Chloride_28_weeks	EUK	HgCl	28w	PW	0.23
28w_NS_euk_HgCl_rep2	FE32_NS_eukV4V5_Mercury_Chloride_28_weeks	EUK	HgCl	28w	NS	0
28w_PW_euk_HgCl_rep2	FE32_PW_eukV4V5_Mercury_Chloride_28_weeks	EUK	HgCl	28w	PW	0.33
28w_NS_euk_HgCl_rep3	FE33_NS_eukV4V5_Mercury_Chloride_28_weeks	EUK	HgCl	28w	NS	0.0316
28w_PW_euk_HgCl_rep3	FE33_PW_eukV4V5_Mercury_Chloride_28_weeks	EUK	HgCl	28w	PW	0.29
28w_NS_euk_HgCl_rep4	FE34_NS_eukV4V5_Mercury_Chloride_28_weeks	EUK	HgCl	28w	NS	0.0388
28w_PW_euk_HgCl_rep4	FE34_PW_eukV4V5_Mercury_Chloride_28_weeks	EUK	HgCl	28w	PW	0.13
28w_NS_euk_HgCl_rep5	FE35_NS_eukV4V5_Mercury_Chloride_28_weeks	EUK	HgCl	28w	NS	0.0094
28w_PW_euk_HgCl_rep5	FE35_PW_eukV4V5_Mercury_Chloride_28_weeks	EUK	HgCl	28w	PW	0.2
28w_NS_euk_Form_rep2	FE37_NS_eukV4V5_Formalin_28_weeks	EUK	Formalin	28w	NS	0.0062
28w_NS_euk_Form_rep3	FE38_NS_eukV4V5_Formalin_28_weeks	EUK	Formalin	28w	NS	0.0107
28w_NS_euk_Form_rep4	FE39_NS_eukV4V5_Formalin_28_weeks	EUK	Formalin	28w	NS	0.0079
28w_NS_euk_Form_rep5	FE40_NS_eukV4V5_Formalin_28_weeks	EUK	Formalin	28w	NS	0.0735
50w_NS_euk_HgCl_rep1	FE56_NS_eukV4V5_Mercury_Chloride_50_weeks	EUK	HgCl	50w	NS	0.0052
50w_PW_euk_HgCl_rep1	FE56_PW_eukV4V5_Mercury_Chloride_50_weeks	EUK	HgCl	50w	PW	0.056
50w_NS_euk_HgCl_rep2	FE57_NS_eukV4V5_Mercury_Chloride_50_weeks	EUK	HgCl	50w	NS	0.0327
50w_PW_euk_HgCl_rep2	FE57_PW_eukV4V5_Mercury_Chloride_50_weeks	EUK	HgCl	50w	PW	0.204
50w_NS_euk_HgCl_rep3	FE58_NS_eukV4V5_Mercury_Chloride_50_weeks	EUK	HgCl	50w	NS	0.0192
50w_PW_euk_HgCl_rep3	FE58_PW_eukV4V5_Mercury_Chloride_50_weeks	EUK	HgCl	50w	PW	0.166
50w_NS_euk_HgCl_rep4	FE59_NS_eukV4V5_Mercury_Chloride_50_weeks	EUK	HgCl	50w	NS	0.0082
50w_PW_euk_HgCl_rep4	FE59_PW_eukV4V5_Mercury_Chloride_50_weeks	EUK	HgCl	50w	PW	0.161
50w_NS_euk_HgCl_rep5	FE60_NS_eukV4V5_Mercury_Chloride_50_weeks	EUK	HgCl	50w	NS	0.0509
50w_PW_euk_HgCl_rep5	FE60_PW_eukV4V5_Mercury_Chloride_50_weeks	EUK	HgCl	50w	PW	0.186
50w_NS_euk_Form_rep1	FE61_NS_eukV4V5_Formalin_50_weeks	EUK	Formalin	50w	NS	0
50w_NS_euk_Form_rep2	FE62_NS_eukV4V5_Formalin_50_weeks	EUK	Formalin	50w	NS	0.002
50w_NS_euk_Form_rep3	FE63_NS_eukV4V5_Formalin_50_weeks	EUK	Formalin	50w	NS	0
50w_NS_euk_Form_rep4	FE64_NS_eukV4V5_Formalin_50_weeks	EUK	Formalin	50w	NS	0.0136
50w_NS_euk_Form_rep5	FE65_NS_eukV4V5_Formalin_50_weeks	EUK	Formalin	50w	NS	0.0054
