OTU	FE-56	FE-57	FE-58	FE-59	FE-60	FE-61	FE-62	FE-63	FE-64	FE-65	FE-66	FE-67	FE-68	FE-69	FE-70	FE-71	FE-72	FE-73	FE-74	FE-75	FE-76	FE-77	FE-78	FE-79	FE-80	FE1-reference	FE10-HGCL2-10weeks	FE12-Formalin-10weeks	FE14-Formalin-10weeks	FE16-RNAlater-10weeks	FE17-RNAlater-10weeks	FE18-RNAlater-10weeks	FE2-reference	FE20-RNAlater-10weeks	FE21-DNAgard-10weeks	FE22-DNAgard-10weeks	FE23-DNAgard-10weeks	FE24-DNAgard-10weeks	FE25-DNAgard-10weeks	FE26-PBuffer-10weeks	FE27-PBuffer-10weeks	FE28-PBuffer-10weeks	FE3-reference	FE30-PBuffer-10weeks	FE31-HGCL2-28weeks	FE32-HGCL2-28weeks	FE33-HGCL2-28weeks	FE34-HGCL2-28weeks	FE35-HGCL2-28weeks	FE4-reference	FE41-RNAlater-28weeks	FE42-RNAlater-28weeks	FE43-RNAlater-28weeks	FE44-RNAlater-28weeks	FE45-RNAlater-28weeks	FE46-DNAgard-28weeks	FE47-DNAgard-28weeks	FE48-DNAgard-28weeks	FE49-DNAgard-28weeks	FE5-reference	FE50-DNAgard-28weeks	FE51-PBuffer-28weeks	FE52-PBuffer-28weeks	FE53-PBuffer-28weeks	FE54-PBuffer-28weeks	FE55-PBuffer-28weeks	FE56-HGCL1-50weeks	FE57-HGCL1-50weeks	FE58-HGCL1-50weeks	FE59-HGCL1-50weeks	FE6-HGCL2-10weeks	FE60-HGCL1-50weeks	FE66-RNAlater-50weeks	FE67-RNAlater-50weeks	FE68-RNAlater-50weeks	FE69-RNAlater-50weeks	FE70-RNAlater-50weeks	FE71-DNAgard-50weeks	FE72-DNAgard-50weeks	FE73-DNAgard-50weeks	FE74-DNAgard-50weeks	FE75-DNAgard-50weeks	FE76-PBuffer-50weeks	FE77-PBuffer-50weeks	FE8-HGCL2-10weeks	FE9-HGCL2-10weeks	FE_31	FE_32	FE_33	FE_34	FE_35	FE_37	FE_38	FE_39	FE_40	FE_41	FE_42	FE_43	FE_44	FE_45	FE_46	FE_47	FE_48	FE_50	FE_51	FE_52	FE_53	FE_54	FE_55	Fixativ-Experiment-10	Fixativ-Experiment-11	Fixativ-Experiment-12	Fixativ-Experiment-13	Fixativ-Experiment-14	Fixativ-Experiment-15	Fixativ-Experiment-16	Fixativ-Experiment-17	Fixativ-Experiment-18	Fixativ-Experiment-19	Fixativ-Experiment-1	Fixativ-Experiment-20	Fixativ-Experiment-21	Fixativ-Experiment-22	Fixativ-Experiment-23	Fixativ-Experiment-24	Fixativ-Experiment-25	Fixativ-Experiment-26	Fixativ-Experiment-27	Fixativ-Experiment-28	Fixativ-Experiment-2	Fixativ-Experiment-30	Fixativ-Experiment-3	Fixativ-Experiment-4	Fixativ-Experiment-5	Fixativ-Experiment-6	Fixativ-Experiment-7	Fixativ-Experiment-8	Fixativ-Experiment-9
1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	142	42	22	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
829	0	0	0	0	0	3	0	0	0	0	11	15	23	19	16	1	1	0	1	2	13	3	2	0	0	0	0	0	0	29	9	1	0	2	0	0	0	0	0	26	0	0	1	0	0	0	0	6	25	0	9	28	22	3	12	0	0	0	0	0	0	25	12	16	4	3	0	0	0	0	0	0	31	10	4	0	15	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	17	22	5	4	6	1	0	0	6	3	8	8	0	1	0	0	0	0	0	20	18	16	13	0	10	2	0	0	0	0	4	17	2	0	0	0	0	0	0	0	0	0
1057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	14	0	52	32	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	65	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	3	107	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	204	0	0	0	0
897	0	0	0	1	0	0	0	0	0	0	13	12	14	14	14	2	1	0	1	4	22	8	5	1	0	0	0	0	0	23	6	0	0	0	0	0	0	0	0	15	0	0	1	0	0	0	0	10	24	0	2	23	10	12	26	0	0	2	0	0	0	12	7	7	4	11	0	0	1	0	0	0	29	8	1	0	7	0	0	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	2	10	15	4	10	6	3	3	1	8	6	4	6	0	0	0	0	0	0	0	12	17	17	16	0	17	0	0	0	0	0	3	19	4	0	0	0	0	0	0	0	0	0
879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	3	0	2	0	0	1	0	0	0	0	22	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0
1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	60	0	12	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	76	0	0	19	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	4	39	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1069	0	0	0	0	0	0	0	0	0	0	0	7	49	62	33	0	0	0	0	2	29	10	3	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	11	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	10	9	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
942	0	0	0	0	0	2	0	0	1	0	15	11	18	23	8	0	0	0	0	0	10	3	3	0	2	0	0	0	0	20	12	1	0	2	0	0	0	0	0	19	0	0	0	0	0	1	0	1	19	0	7	24	13	6	15	0	0	0	0	0	0	11	2	12	4	8	0	0	0	0	0	0	31	10	4	0	12	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	1	17	19	9	8	4	3	0	0	4	2	3	5	5	0	0	0	0	0	0	12	15	18	13	0	12	0	0	0	0	0	5	18	1	0	0	0	0	0	0	0	0	0
871	0	0	0	0	0	2	1	0	0	0	13	21	21	16	17	0	0	0	0	0	15	3	7	0	1	0	0	0	0	27	10	0	0	1	0	0	0	0	0	26	0	0	0	0	0	0	0	8	20	0	2	20	28	9	16	0	0	2	0	0	0	18	8	9	2	5	0	0	0	0	0	0	27	8	5	0	9	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	1	0	4	9	15	5	7	6	2	1	2	7	5	2	3	1	0	0	0	0	0	0	11	21	16	22	0	28	1	0	0	0	0	2	12	3	0	0	0	0	0	0	0	0	0
1112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
741	0	0	0	0	0	1	0	0	2	0	18	22	31	24	17	2	2	0	1	5	25	4	3	0	0	0	0	0	1	31	11	0	0	3	0	0	0	0	0	19	0	1	0	0	0	0	0	4	20	0	5	30	17	12	33	0	0	1	0	0	0	21	13	14	0	8	0	0	0	0	0	0	27	11	3	0	12	0	0	0	0	0	40	0	0	1	1	0	0	0	0	0	0	0	0	3	13	17	8	14	0	5	0	0	6	3	2	4	1	1	0	0	0	0	0	25	30	18	22	0	22	0	0	0	0	0	1	14	7	0	1	0	0	0	0	0	0	0
972	24	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	32	62	72	40	0	0	0	0	0	0	0	0	0	0	0	1	7	3	0	0	12	0	0	11	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	44	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1098	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	91	0	0	0	124	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
1187	0	0	0	0	0	0	0	0	8	0	5	17	10	15	11	1	0	0	1	3	8	5	5	0	0	0	0	0	0	17	5	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	6	11	0	3	17	10	3	15	0	0	1	0	0	0	13	2	7	0	3	0	0	0	0	0	0	14	3	0	0	5	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	1	6	10	5	8	3	5	0	0	6	4	3	7	2	1	0	0	0	0	0	9	10	5	8	0	15	0	0	0	0	0	0	6	1	0	1	0	0	0	0	0	0	0
1095	0	0	0	0	0	0	0	0	0	0	0	19	30	49	0	0	0	0	0	4	15	10	0	0	0	0	0	0	0	49	0	0	0	1	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	11	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	41	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	72	0	0	0	0	7	55	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
789	0	0	0	3	0	1	1	0	0	0	14	19	30	27	21	4	1	0	2	4	19	10	10	0	0	0	0	1	0	19	4	0	0	1	0	0	0	0	0	26	0	0	0	0	0	0	0	8	17	0	5	22	18	3	22	0	0	0	0	0	0	14	11	12	6	5	0	0	0	0	0	1	27	11	2	0	9	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	2	20	14	10	4	2	6	0	0	7	2	3	9	2	0	0	0	0	0	0	25	25	21	27	0	19	2	0	0	0	0	5	16	4	0	0	0	0	0	0	1	0	0
1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	46	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	246	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	23	0	0	0	0	0	0
859	0	0	0	1	0	1	1	0	1	0	14	13	17	21	17	3	3	0	0	3	19	5	6	0	0	0	0	0	0	30	5	1	0	3	0	0	0	0	0	22	0	0	0	0	0	0	0	6	17	1	5	35	17	9	19	0	0	1	0	0	0	11	7	7	1	9	0	0	0	0	0	0	18	16	2	0	7	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	5	13	14	12	12	7	4	1	0	6	2	2	5	1	0	0	0	0	0	0	18	18	8	15	0	21	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	0	0
1054	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1109	0	0	0	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	52	31	20	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	72	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	101	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	24	40	0	0	0	0	0	0	0	14	0	0	0	0	0	13	0	0	19	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	8	75	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	42	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	241	0
815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	629	0	0	0	0	0	0	0	0	0
1113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	45	0	0	0	0	0	0	8	0	51	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	29	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0
817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	83	68	42	44	0	0	0	0	0	0	0	0	0	0	0	2	2	23	0	2	46	0	0	117	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	6	0	0	0	0	81	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1181	0	0	0	0	0	0	0	0	0	0	12	12	16	10	5	0	1	0	0	1	5	7	5	0	0	0	2	0	0	20	8	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	6	16	0	1	11	8	2	12	0	0	1	0	0	0	10	7	11	1	4	0	0	0	0	0	0	20	2	3	0	5	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	5	8	10	7	7	4	0	1	6	2	1	4	1	1	0	0	0	0	0	4	12	10	14	0	10	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0
784	0	1	0	0	0	1	0	0	1	0	6	20	17	19	11	1	0	0	0	0	13	2	4	0	0	0	0	0	0	36	8	0	0	2	0	0	0	0	0	31	0	0	0	0	0	0	0	11	28	0	4	33	19	15	25	0	0	1	0	0	0	10	7	17	2	7	0	0	0	0	0	0	28	12	1	0	11	0	0	0	0	0	34	0	0	0	1	0	0	0	0	0	0	0	0	4	16	22	7	13	18	4	0	0	6	3	5	11	1	0	0	0	0	0	0	14	24	22	17	0	13	0	0	0	0	0	2	15	5	0	0	0	0	0	0	0	0	0
908	0	0	0	0	0	0	1	0	1	0	9	11	19	23	21	0	0	0	0	3	14	9	5	0	0	0	0	0	0	36	11	0	0	1	0	0	0	0	0	24	1	1	0	0	0	0	0	6	16	0	5	28	15	13	16	0	0	0	0	0	0	8	13	11	2	6	0	0	0	0	0	0	18	12	3	0	10	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	1	0	0	6	15	7	3	4	3	0	1	8	1	5	5	0	1	0	0	0	0	0	8	12	15	19	0	26	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0
729	0	0	0	0	0	0	0	0	1	0	24	19	19	33	20	5	0	0	1	7	27	11	10	0	1	0	0	1	0	35	3	0	0	2	0	0	0	0	0	15	0	0	0	0	0	0	1	6	15	0	5	39	24	8	18	0	0	0	0	0	0	22	13	19	3	6	0	0	0	0	0	0	29	10	4	0	9	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	3	20	19	6	14	12	9	0	2	2	7	4	11	2	0	0	0	0	0	0	17	20	23	27	0	22	0	0	0	0	0	1	11	6	0	0	0	0	0	0	0	0	0
1052	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1133	0	0	0	0	0	0	0	0	0	0	31	30	70	55	11	0	0	0	0	4	14	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	21	6	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	13	21	30	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
649	0	0	0	0	0	0	0	0	0	0	35	1	0	6	30	0	0	0	0	0	0	1	1	0	0	0	0	0	0	8	16	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	63	0	6	5	78	38	32	0	0	0	0	0	0	14	64	0	0	101	0	0	0	0	0	0	48	3	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	28	16	14	10	25	1	20	8	27	0	0	0	0	0	0	0	0	0	19	20	17	45	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
826	0	3	0	1	0	0	1	0	1	0	6	15	14	12	16	1	4	0	0	9	13	3	4	0	0	0	0	0	0	23	10	0	0	1	0	0	0	0	0	21	0	0	0	0	0	0	0	6	28	0	5	19	24	17	24	0	0	2	0	0	0	8	9	8	4	7	0	0	0	0	0	0	33	12	3	0	18	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	3	18	14	7	10	6	0	0	0	7	4	5	9	1	1	0	0	0	0	0	15	26	20	20	0	20	0	0	0	0	0	1	16	2	0	0	0	0	0	0	0	0	0
843	0	0	0	0	0	2	1	1	0	0	7	14	22	13	19	2	0	0	0	3	25	9	2	1	0	0	0	0	0	19	10	0	0	2	0	0	0	0	0	24	0	0	0	0	0	1	0	4	25	0	3	20	15	9	16	0	0	1	0	0	0	22	10	6	1	9	0	0	0	0	0	0	27	10	4	0	12	0	0	0	0	0	34	0	0	0	1	0	0	0	0	0	0	0	0	2	11	15	10	7	1	8	0	0	24	2	2	5	2	0	0	0	0	0	0	15	21	12	18	0	19	0	0	0	0	0	4	15	2	0	0	0	0	0	0	0	0	0
1099	98	0	1	310	1	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
906	0	1	0	2	0	1	0	0	0	0	5	14	15	16	18	2	3	0	0	1	16	6	6	0	0	0	0	0	0	23	8	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	5	12	1	5	29	13	14	18	0	0	0	0	0	0	16	16	8	0	4	0	0	0	2	0	0	28	9	3	0	14	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	3	9	17	8	13	3	2	0	0	2	3	3	10	0	0	0	0	0	0	0	14	20	12	19	0	13	3	0	0	0	0	3	11	2	0	0	0	0	0	0	0	0	0
1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	84	196
1142	0	26	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	115	0	0	0	0	0	0	0	0	29	0	13	0	8	14	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	0	0
