OTU	FE-56	FE-57	FE-58	FE-59	FE-60	FE-61	FE-62	FE-63	FE-64	FE-65	FE-66	FE-67	FE-68	FE-69	FE-70	FE-71	FE-72	FE-73	FE-74	FE-75	FE-76	FE-77	FE-78	FE-79	FE-80	FE1-reference	FE10-HGCL2-10weeks	FE12-Formalin-10weeks	FE14-Formalin-10weeks	FE16-RNAlater-10weeks	FE17-RNAlater-10weeks	FE18-RNAlater-10weeks	FE2-reference	FE20-RNAlater-10weeks	FE21-DNAgard-10weeks	FE22-DNAgard-10weeks	FE23-DNAgard-10weeks	FE24-DNAgard-10weeks	FE25-DNAgard-10weeks	FE26-PBuffer-10weeks	FE27-PBuffer-10weeks	FE28-PBuffer-10weeks	FE3-reference	FE30-PBuffer-10weeks	FE31-HGCL2-28weeks	FE32-HGCL2-28weeks	FE33-HGCL2-28weeks	FE34-HGCL2-28weeks	FE35-HGCL2-28weeks	FE4-reference	FE41-RNAlater-28weeks	FE42-RNAlater-28weeks	FE43-RNAlater-28weeks	FE44-RNAlater-28weeks	FE45-RNAlater-28weeks	FE46-DNAgard-28weeks	FE47-DNAgard-28weeks	FE48-DNAgard-28weeks	FE49-DNAgard-28weeks	FE5-reference	FE50-DNAgard-28weeks	FE51-PBuffer-28weeks	FE52-PBuffer-28weeks	FE53-PBuffer-28weeks	FE54-PBuffer-28weeks	FE55-PBuffer-28weeks	FE56-HGCL1-50weeks	FE57-HGCL1-50weeks	FE58-HGCL1-50weeks	FE59-HGCL1-50weeks	FE6-HGCL2-10weeks	FE60-HGCL1-50weeks	FE66-RNAlater-50weeks	FE67-RNAlater-50weeks	FE68-RNAlater-50weeks	FE69-RNAlater-50weeks	FE70-RNAlater-50weeks	FE71-DNAgard-50weeks	FE72-DNAgard-50weeks	FE73-DNAgard-50weeks	FE74-DNAgard-50weeks	FE75-DNAgard-50weeks	FE76-PBuffer-50weeks	FE77-PBuffer-50weeks	FE8-HGCL2-10weeks	FE9-HGCL2-10weeks	FE_31	FE_32	FE_33	FE_34	FE_35	FE_37	FE_38	FE_39	FE_40	FE_41	FE_42	FE_43	FE_44	FE_45	FE_46	FE_47	FE_48	FE_50	FE_51	FE_52	FE_53	FE_54	FE_55	Fixativ-Experiment-10	Fixativ-Experiment-11	Fixativ-Experiment-12	Fixativ-Experiment-13	Fixativ-Experiment-14	Fixativ-Experiment-15	Fixativ-Experiment-16	Fixativ-Experiment-17	Fixativ-Experiment-18	Fixativ-Experiment-19	Fixativ-Experiment-1	Fixativ-Experiment-20	Fixativ-Experiment-21	Fixativ-Experiment-22	Fixativ-Experiment-23	Fixativ-Experiment-24	Fixativ-Experiment-25	Fixativ-Experiment-26	Fixativ-Experiment-27	Fixativ-Experiment-28	Fixativ-Experiment-2	Fixativ-Experiment-30	Fixativ-Experiment-3	Fixativ-Experiment-4	Fixativ-Experiment-5	Fixativ-Experiment-6	Fixativ-Experiment-7	Fixativ-Experiment-8	Fixativ-Experiment-9
10	3510	7707	3583	10497	6258	5011	4971	0	1702	2412	0	1	0	0	1	0	2	4	0	0	0	0	1	1515	0	702	6694	267	552	5	84	4525	3675	87	618	149	584	17	109	18	4845	388	1984	0	2119	1598	515	685	199	2753	0	1	18	0	22	1	1033	2141	0	3954	0	2	37	1	0	0	1398	5540	4758	3246	175	3012	2	0	4	2	0	0	0	0	2	0	16	11101	1	3134	6573	1680	4500	4347	7375	1061	929	490	639	0	4	0	0	0	0	0	0	0	0	0	0	32	125	7009	0	990	46	1971	3922	0	2	7	1	1324	5	0	4	0	0	15	0	110	259	500	0	989	385	1255	6594	4224	13134	11527
12	135	3373	1142	2155	4189	3013	3470	0	3647	3092	0	0	0	0	0	0	5	0	0	0	1	0	1	2295	0	3294	2810	139	121	0	0	3343	7933	0	0	0	0	0	0	0	1460	0	3999	0	715	682	190	0	3	4449	0	1	0	1	1	0	437	0	0	8720	1	0	13	0	0	0	564	1873	1466	1855	48	1361	0	0	50	3	0	0	0	0	0	1	1	3299	2	1456	2378	1048	1583	760	2717	1931	1046	1191	1072	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2441	0	1064	2193	3179	1875	0	3	2	0	2437	1	0	0	0	0	0	0	102	4	2882	645	3622	1532	4026	2893	1857	5261	3410
15	216	3	853	57	30	221	160	0	181	347	0	9	3	6	19	18	254	50	373	174	2	786	1129	455	163	649	6922	2	1	225	93	6817	1174	173	1111	660	1497	1631	512	75	5110	1464	892	1862	2112	2433	1127	2441	240	699	4	1	7	112	0	140	1991	4436	140	1504	594	1697	1824	2040	2894	1961	1181	3871	2952	2197	312	4124	1	4	8845	364	1	372	1613	139	195	4	7	3517	2	3370	1241	200	579	751	345	192	476	326	211	2	1	0	1	0	0	0	5	29	12	63	136	289	187	375	0	33	0	255	0	2	4	4	4	0	27	113	9	45	60	154	378	188	585	40	1925	15	15	57	449	653	524	367
13	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	1	2	13105	7511	11933	10774	8590	0	1	0	1	1	1	0	0	4	1	1	715	497	2023	7	1080	7617	0	1	9573	0	17794	3	3	1	1	0	0	1	1	0	0	0	0	0	1	14180	1024	14900	2	2	36	6999	0	0	614	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	6034	1845	35	2562	592	2247	4236	0	2151	3783	0	0	0	0	0	0	1	0	0	0	0	0	0	1649	0	729	6617	2	0	152	44	2419	2450	1	0	1	1008	0	0	94	3666	1657	1351	1411	748	876	236	1656	0	1424	0	0	2	0	1	0	183	0	1	1925	0	0	0	14	2116	1	309	832	95	2032	293	3351	0	0	4575	0	0	0	3089	1	0	0	0	655	2	3179	616	1390	189	664	2972	1813	1600	2040	884	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4242	0	695	0	903	745	0	2	0	0	913	205	0	0	0	0	0	0	0	0	245	0	626	119	598	2488	2903	5288	5840
16	402	1921	267	3417	1602	7259	6675	3	5663	4673	0	0	0	0	0	0	8	15	0	0	0	0	1	2782	0	2526	1062	127	56	0	0	726	3292	0	0	0	0	0	0	0	404	0	2785	11	103	48	24	14	0	2836	0	0	0	0	1	0	224	0	0	4322	0	8	0	2	0	0	166	459	181	461	26	950	0	0	0	0	0	0	0	0	0	0	0	997	0	384	787	278	0	435	84	2986	2566	3268	2574	0	0	1	0	0	0	0	0	0	0	0	0	0	0	564	3305	1726	2816	3587	4975	0	0	0	0	1746	0	43	4	0	0	0	258	102	244	1382	0	2146	731	1902	441	386	1727	1892
18	1076	3780	3343	2318	5065	798	110	0	294	993	0	1	1	0	0	0	0	0	0	0	245	0	0	704	304	392	3149	1	1	0	0	3579	919	0	1	30	10	0	1	0	3400	37	743	11	889	1024	375	266	0	607	0	0	2	37	1	0	996	1339	32	1023	32	69	141	377	199	1	762	3874	4190	3481	97	3980	0	0	47	0	0	0	0	28	36	0	1	4224	2	1759	2785	1678	2182	3206	1813	510	296	645	310	0	0	0	0	0	13	31	1	0	17	16	18	330	371	1335	0	216	1150	1019	215	0	0	0	0	82	1	9	136	218	133	27	0	1791	4	240	16	350	142	282	2049	1629	5543	3406
17	1392	290	927	2895	14693	206	1	0	921	219	0	61	338	17	13	2	702	94	67	422	851	673	1520	13605	2343	5	413	292	296	0	1434	28	19	9	81	47	112	465	104	214	19	63	13	22	89	35	121	65	18	0	9	2	20	70	2	31	50	77	47	13	187	50	0	79	54	694	6	355	58	72	0	113	1	5	0	63	18	73	57	5	28	68	0	164	8	15	374	1713	1793	390	1205	297	3	0	66	5	2	2	24	0	69	380	15	14	38	381	675	1281	134	973	113	13	4098	44	224	14	51	757	30	1146	181	283	31	238	18	266	4847	17198	6700	396	1159	103	8	11	290	115	339	1243
21	2088	1805	385	858	3513	2245	1885	0	201	2579	0	0	0	1	0	0	0	2	0	0	0	0	0	693	0	271	1601	1356	2902	0	0	972	1401	0	0	1	1	0	0	1	334	0	2159	0	674	225	77	1	0	2070	0	0	0	1	0	0	1433	9	0	3182	0	0	57	4	0	0	603	314	7405	996	30	486	1	0	124	0	0	0	0	0	0	0	0	2545	0	2956	2748	187	39	7939	2528	542	824	602	10	0	0	1	0	0	6	0	0	0	0	0	0	0	1	811	3024	177	0	91	301	0	0	1	0	25	0	0	0	25	0	4	13	173	39	699	0	2100	1099	1669	406	219	474	4825
22	0	0	0	0	0	566	3	2	1	1	0	0	0	0	51264	1834	404	2	37	2	0	715	4450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5154	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	0
