sample_title	internal_id	locus_tag	preservation	time	extraction	forward_read_file_name	reverse_read_file_name
50w_PW_bac_HgCl_rep4	FE59_PW_bactV4V5_Mercury_Chloride_50_weeks	16S	HgCl	50w	PowerWater	FE59_PW_bactV4V5_Mercury_Chloride_50_weeks_S150_L001_R1_001.fastq.gz	FE59_PW_bactV4V5_Mercury_Chloride_50_weeks_S150_L001_R2_001.fastq.gz
50w_NS_euk_HgCl_rep4	FE59_NS_euk_Mercury_Chloride_50_weeks	18S	HgCl	50w	NucleoSpin	FE-59_S29_L001_R1_001.fastq.gz	FE-59_S29_L001_R2_001.fastq.gz
50w_PW_euk_HgCl_rep4	FE59_PW_euk_Mercury_Chloride_50_weeks	18S	HgCl	50w	PowerWater	FE59-HGCL1-50weeks_S30_L001_R1_001.fastq.gz	FE59-HGCL1-50weeks_S30_L001_R2_001.fastq.gz
T0_PW_euk_rep5	FE05_PW_euk_Reference_none	18S	none_ref	T0	PowerWater	FE5-reference_S48_L001_R1_001.fastq.gz	FE5-reference_S48_L001_R2_001.fastq.gz
50w_NS_bac_HgCl_rep5	FE60_NS_bactV4V5_Mercury_Chloride_50_weeks	16S	HgCl	50w	NucleoSpin	FE60_NS_bactV4V5_Mercury_Chloride_50_weeks_S60_L001_R1_001.fastq.gz	FE60_NS_bactV4V5_Mercury_Chloride_50_weeks_S60_L001_R2_001.fastq.gz
50w_PW_bac_HgCl_rep5	FE60_PW_bactV4V5_Mercury_Chloride_50_weeks	16S	HgCl	50w	PowerWater	FE60_PW_bactV4V5_Mercury_Chloride_50_weeks_S151_L001_R1_001.fastq.gz	FE60_PW_bactV4V5_Mercury_Chloride_50_weeks_S151_L001_R2_001.fastq.gz
50w_NS_euk_HgCl_rep5	FE60_NS_euk_Mercury_Chloride_50_weeks	18S	HgCl	50w	NucleoSpin	FE-60_S37_L001_R1_001.fastq.gz	FE-60_S37_L001_R2_001.fastq.gz
50w_PW_euk_HgCl_rep5	FE60_PW_euk_Mercury_Chloride_50_weeks	18S	HgCl	50w	PowerWater	FE60-HGCL1-50weeks_S42_L001_R1_001.fastq.gz	FE60-HGCL1-50weeks_S42_L001_R2_001.fastq.gz
50w_NS_bac_Form_rep1	FE61_NS_bactV4V5_Formalin_50_weeks	16S	Formalin	50w	NucleoSpin	FE61_NS_bactV4V5_Formalin_50_weeks_S61_L001_R1_001.fastq.gz	FE61_NS_bactV4V5_Formalin_50_weeks_S61_L001_R2_001.fastq.gz
50w_PW_bac_Form_rep1	FE61_PW_bactV4V5_Formalin_50_weeks	16S	Formalin	50w	PowerWater	FE61_PW_bactV4V5_Formalin_50_weeks_S152_L001_R1_001.fastq.gz	FE61_PW_bactV4V5_Formalin_50_weeks_S152_L001_R2_001.fastq.gz
